id,comment,program,time
aisae, 오늘 밸런스밀은 체험분만 있네요🥲,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸드파이터, 다른생지 먹어봤는데 버터향이 고메가 젤 좋아요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
유메미루, 2021120999200791 크로와상3봉지랑 스콘+콘치즈+토마토햄치즈 구매했어요~~,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
은행잎, 대박대박,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
은행잎, 메이플시럽만 뿌려도 맛있어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
두붕이언니, 완전 근사한 디저트가 완성되네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
eye2u, 빵종류가 많다,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
은행잎, 얼른 먹어주세용~~💕💕💕,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
은행잎, 오오오오,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
eye2u, 먹어보고싶어,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸드파이터, 고메꺼는 안에가 떡지지가 않고 결이 살아있어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
쿠요빵, 와우 맛있겠어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
커피채움, 크로와상은 그만드시구요~~~애플파이는 어떤가요?,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸드파이터, 잘못사면 떡지고 폭망 ㅠ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
유메미루," 스콘,크로와상,애플턴오버는 진작부터 구입해서 먹어봤는데 콘치즈랑 토마토 넘 궁금하네요.",CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
suj, 완전 맛나겠네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
굴은위험해, 크로풀...미쳣 ㅠㅠㅠ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
써니, 신제품 궁금해요!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
psj, 2021120999135601 구매완료 기다리는자에게 복이 오겠죠? 힝 라방 정말 고문이네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
블루리본, 와 진짜 찐이네요. 단순히 구워만 먹으려고 했다가 여러가지로 만들어 먹는 거 시연해주니 좋네요.,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸기, 콘치즈 드시는거 보여조요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
해피, 크로와상 구매했어요~스콘도 보여주세요^^,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
리혓조, 아까 에어프라이어 돌린 생지 궁금해요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸기, 콘치즈,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
유메미루, 두개 골랐는데 브러쉬가 2개 오나봐요.,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
아리아, 맛있어보여요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
굴은위험해, 주문했는데 언눙 왔듬 좋겠어요...,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
블루리본, 오~~~광고 같아요.,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
커피채움, 다른제품은 이미 설명 끝났나요?,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
nannahey, 정말.. 조합들이 한미침하네요.. 안사고는 못참지..,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸드파이터, 여기가 성수동 빵맛집,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸드파이터," ,,,",CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
유메미루, 어우!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
샵봉, 와 맛있겠네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
미소천사, 2021120999288561구매인증 합니다,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
굴은위험해, 저것두 빵이 맛이없으면 별로일텐데 진짜 맛나나봐요...,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
푸기, 쌍림동 맛집,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
리혓조, 노릇노릇한거봐ㅋㅋㅋㅋㅋ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
별사탕v, 오와,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
씨알이, 2021120999311531 구매인증이요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
별사탕v, 안 뜨겁나?,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
lkh, 대박~~!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
hermitranger, 맛있겠다,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
