id,comment,program,time,love,play
키키베리, 저는 아이보리랑 블랙이 이쁜거가타용☺,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
슈프, 앞에 소개 머머했나용???,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
투리, 요건 163정도 되시는 분들까지 기장 넘 이쁠거 같아보여요ㅎㅎ아이보리 넘 예쁘다여ㅜㅜ,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
바이올렛, 일단 아이보리로 겟할까봐요~^^,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
키키베리, 기장이 제가 딱 조아하는 기장ㅋㅋ,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
투리, 혹시 사장님 입어봐주실수있나융,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
키키베리, 제가 162정도라서 92정도 기장 엄청 좋아해요!,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
키키베리, 아이보리에 아이보리 이쁘네요!,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
키키베리, 약간 세트 느낌으로다가!,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
투리, 사쟝님이랑 키가 똑같아서 항상 바지사면 댕강했거둔여ㅠㅠㅋㅋ,드까_겨울신상_인기_BEST_!_혜택_놓치지마세요,2021-12-20_060130,"2,488","1,654"
