id,comment,program,time
ope, 굿,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070851
진주또리, 너무 맛있겠어요.,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
진주또리, 와~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
진주또리, 먹어보고 싶어요..,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
레오나르도디카페인, 끓여보자요~~~ 궁금 궁금,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
문희는다이어터, 열어주세여!!!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
jan, 겨울엔 뜨끈한 어묵탕이 최고,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070912
레오나르도디카페인, 오픈 오픈 뚜둥~~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070932
ope, 굿,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070932
아푸로, 맛잇겟네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071014
문희는다이어터, 만두어묵? 첨듣네,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071014
아푸로, 뜨끈한 궁물이 땡기는 오뎅탕~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071014
레오나르도디카페인, 끓여보자요~~~ 궁금궁금,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071055
문희는다이어터, 밥 먹은지 얼마 안됐는데 배고프다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071055
Dyydtyhjyrr, 혹시 너 엠미야?,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071055
꿀벌, 저또주문했어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071116
레오나르도디카페인, 불금을 어묵탕으로 달려 보겠스~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071137
아이코야, 가격이 좋네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071137
톰과란제리, 먹방 빨리 보고싶어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071218
김유리, 남편 사줘야겠네,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071239
톰과란제리, 저도 약 한사발 들이키고 싶네요 크,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071239
김유리, 헐 고추잡채 받고 싶다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071259
레오나르도디카페인, 저건 꼭 먹어줘야징~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071259
김유리, 고추잡채 볶음밥은 첨봐,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071320
톰과란제리, 초록병에 들어있는 만능치료약,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071320
레오나르도디카페인, 오미크론 무셔버 못나가는뎅 어묵탕으로 달래줘야징~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071422
개굴개굴, 슬슬 끓어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071443
개굴개굴, 떨려요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071443
yle, 어묵탕왕 ㅜ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071504
yle, 끼니엔 오 ㅏ우,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071504
yle, 떨려 용 ~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071504
yle, ^^,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071504
쭈니맘, 주말에 캠핑가는데 이번주 어묵탕 먹어야겠다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071504
쭈니맘, 캠핑서 어묵탕 먹으면 뜨듯하니~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071524
개굴개굴, 캠핑장에서 딱이겠네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071524
개굴개굴, 우동사리 넣으면 좋을듯,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071606
레오나르도디카페인, 비쥬얼 보소~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071606
쭈니맘, 인스타각ㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071606
상신, 지글보글,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071626
로딕잉, 최고입니당,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071626
쭈니맘, 우동사리 넣어야하는데 ㅜㅜ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071708
개굴개굴, ㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071708
개굴개굴, 배운분,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071708
쭈니맘, 어묵우동짱,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071708
레오나르도디카페인, 침 꼴깍~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071729
레오나르도디카페인, CF 찍 자요~~ 아 ! 이맛이야~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071749
레오나르도디카페인, 국물이 끝네줘요~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071749
개굴개굴, 사심방송이다!!!!!!!!!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071810
레오나르도디카페인, 여기서 이러시면 아니되요~~ㅎㅎㅎㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071831
무지개, 쇼호스트님 상당히 행복해 보이십니다.,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071852
레오나르도디카페인, 화면속에 숟가락 얹고싶네~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071852
jyu, 반갑습니다!!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071933
lllIIIIIlllllIII, ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071933
jyu, hi~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071933
DEBBIE, 일단 사고 다시 왔어요~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_071933
메로나, 좋은일에 쓰이네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072036
레오나르도디카페인, 참지 않아요~~~CF2탄~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072117
메로나, 날이 추워서,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072117
레오나르도디카페인, 어묵이 끝내줘요~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072117
메로나, 어묵탕 땡겨요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072117
뽀르뽀르, 좋아요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072159
무지개, 와 입속으로 쏘옥 들어가네,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072159
무지개, 저도 국물파에요!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072159
레오나르도디카페인, 국물 한 숟가락 약소한 소* 한잔~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072220
니가가라나이아가라, 팽이가 입안에서 팡팡 터지면,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072240
니가가라나이아가라, 크,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072240
니가가라나이아가라, 으앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072301
니가가라나이아가라, 맛있게 드신다 ㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072301
레오나르도디카페인, 포장마차 온듯한 시식~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072322
쭈니맘, 잉ㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072425
레오나르도디카페인, 워~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072425
니가가라나이아가라, 으앜ㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072425
니가가라나이아가라, 이게 왠일,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
쭈니맘, 갑자기 난입ㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
레오나르도디카페인, PD님 시식인가요?,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
니가가라나이아가라, 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
니가가라나이아가라, 겁나 웃기네,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
레오나르도디카페인, 저요 저요~~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072446
류정섭, 먹으려고 방송하는거 같은데 ㅎㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
꿀벌, 안경이 코끝까지 내려온게 킬포,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
kdfjnn, 대박 ㅎㅎㅎㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
kdfjnn, 우아,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
레오나르도디카페인, 열정 PD님~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
사과조아, ㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072527
회사전용, 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072548
회사전용, 多少钱,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072548
류정섭, 퇴근시간 다가오는데~ 배고프네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072609
꿀벌, 먹방 보니까,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072609
꿀벌, 진짜 배고파요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072630
레오나르도디카페인, 퇴근시간 오는데 기분좋게 지르자~~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072630
레오나르도디카페인, 어묵탕에 약소하게 볶음밥 까지 묵어보자~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072651
저축왕, 날씨에 딱이네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072651
저축왕, 어묵탕,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072651
저축왕, ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072712
햇빛망울, 겨울엔 역시 뜨끈한 어묵탕이죠 ㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072733
저축왕, 쇼호스트님 정말 행복해보여요 드실때랑 술얘기 하실때 특히나..,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072733
카페라떼, 안녕하세요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072755
카페라떼, 방송 혜택 좋아요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072755
류정섭, 오...,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072816
칙칙촉촉, 연기가 모락모락,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072837
칙칙촉촉, 아니 뚜껑에 올려져있는거 부터가 이미 맛있어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072858
레오나르도디카페인, 먹방인가요~~ 속이 꽉찬 모양보소~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072919
바다향기, 안녕하세요 볶음밥은 아무거나 사도 주시나요?,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_072940
칙칙촉촉, 진짜 이거 너무 맛있어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073145
렝, 우와 맛있겠네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073207
칙칙촉촉, 저이거 쿠팡에서 자주 샀었어욬ㅋㅋㅋㅋㅋ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073207
칙칙촉촉, 진짜 인정,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073207
yoonwest, 와,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073249
yoonwest, 뜨끈하이 맛나겠네여,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073249
딜, 좋네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073249
야니기사, 반갑습니다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073249
486, ㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073331
칙칙촉촉, 콧물 나왔으면 인정,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073352
칙칙촉촉, 안살수가 없네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073413
윤윤, 좋네용!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073413
66s, 맛있겟어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073455
qht, 겨울엔 어묵탕이죠,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_073516
